,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
33,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,df94f92b5c9ea5c5bd7098f00840e83a,3f7f0ce35d6d0a08377eb2efe2189f4fdf94f92b5c9ea5c5bd7098f00840e83a,49.69406942964762,77.990464048064,75.54243731479703
188,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,df94f92b5c9ea5c5bd7098f00840e83a,3f7f0ce35d6d0a08377eb2efe2189f4fdf94f92b5c9ea5c5bd7098f00840e83a,51.228088559768544,85.34909850906149,82.95637796834158
288,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,df94f92b5c9ea5c5bd7098f00840e83a,3f7f0ce35d6d0a08377eb2efe2189f4fdf94f92b5c9ea5c5bd7098f00840e83a,50.29079413870793,84.00137392225696,90.71671003836504
387,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,df94f92b5c9ea5c5bd7098f00840e83a,3f7f0ce35d6d0a08377eb2efe2189f4fdf94f92b5c9ea5c5bd7098f00840e83a,48.87029824592046,69.47039954357838,72.27646110228153
409,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,df94f92b5c9ea5c5bd7098f00840e83a,3f7f0ce35d6d0a08377eb2efe2189f4fdf94f92b5c9ea5c5bd7098f00840e83a,41.44471418341863,55.01219647088275,56.645184577140505
563,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,df94f92b5c9ea5c5bd7098f00840e83a,3f7f0ce35d6d0a08377eb2efe2189f4fdf94f92b5c9ea5c5bd7098f00840e83a,23.69142637581432,42.17824894772692,43.659872737540105
595,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,df94f92b5c9ea5c5bd7098f00840e83a,3f7f0ce35d6d0a08377eb2efe2189f4fdf94f92b5c9ea5c5bd7098f00840e83a,22.259287074069547,41.34574520728179,42.17824894772692
736,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,df94f92b5c9ea5c5bd7098f00840e83a,3f7f0ce35d6d0a08377eb2efe2189f4fdf94f92b5c9ea5c5bd7098f00840e83a,31.707913442897816,56.83147912045688,51.97326673303411
828,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,df94f92b5c9ea5c5bd7098f00840e83a,3f7f0ce35d6d0a08377eb2efe2189f4fdf94f92b5c9ea5c5bd7098f00840e83a,54.00213074383919,85.41895896280514,80.67426981271578
973,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,df94f92b5c9ea5c5bd7098f00840e83a,3f7f0ce35d6d0a08377eb2efe2189f4fdf94f92b5c9ea5c5bd7098f00840e83a,49.29528267286096,76.1624488417719,85.31125742995034
1022,20170611,3f7f0ce35d6d0a08377eb2efe2189f4f,df94f92b5c9ea5c5bd7098f00840e83a,3f7f0ce35d6d0a08377eb2efe2189f4fdf94f92b5c9ea5c5bd7098f00840e83a,48.39291847867218,68.00915171944042,70.74535282439994
1102,20170612,3f7f0ce35d6d0a08377eb2efe2189f4f,df94f92b5c9ea5c5bd7098f00840e83a,3f7f0ce35d6d0a08377eb2efe2189f4fdf94f92b5c9ea5c5bd7098f00840e83a,48.54719364735608,65.16815993386544,67.08641155957642
1222,20170613,3f7f0ce35d6d0a08377eb2efe2189f4f,df94f92b5c9ea5c5bd7098f00840e83a,3f7f0ce35d6d0a08377eb2efe2189f4fdf94f92b5c9ea5c5bd7098f00840e83a,46.46011259176462,60.560280839024045,61.70715662131559
