,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
89,20170601,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,55.99897538001176,26.683782477833862,26.75364293157751
98,20170602,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,58.70897881481741,28.829080578211695,28.380809333356623
279,20170603,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,56.310436569618865,27.28632889137282,29.938115281392086
310,20170604,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,59.64336238363869,27.015619633116184,28.278929504980468
444,20170605,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,59.398850795535914,27.615255194415823,28.791239499100552
515,20170606,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,57.44857979519245,25.886208964260558,27.04763900774869
680,20170607,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,54.16513846924103,25.1119222686018,25.84836788514941
752,20170608,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,56.85767679061076,27.271774630176225,28.340057402006163
861,20170609,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,58.83414546110812,28.15376285868977,29.469468070861787
885,20170610,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,57.79788206391068,26.602278615132946,29.30354949322063
1033,20170611,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,55.51868476052419,25.443759423884128,27.722956727270606
1166,20170612,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,54.99473135744685,24.881964941695628,26.17729418819242
1247,20170613,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,54.96271198281434,24.672383580464693,25.68827101198689
1299,20170614,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,50.31117010438317,21.281240721658488,22.14576383673613
1385,20170615,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,59.582234486613,25.469957094037994,24.742244034208337
1490,20170616,06d86ef037e4bd311b94467c3320ff38,7809f7e1ce419a80532cf5917f9b34c0,06d86ef037e4bd311b94467c3320ff387809f7e1ce419a80532cf5917f9b34c0,55.40225067095145,26.37523214046609,26.13654225684196
