date_dt,city_code,district_code,dwell,flow_in,flow_out
20170601,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,118.86174034033684,54.42129346630106,52.08970082260685
20170602,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,122.81176682909224,56.58405668011481,53.134696776522226
20170603,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,119.19066664337986,53.84203387067666,56.90425042643986
20170604,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,127.94068847477163,56.56950241891821,57.54463791908996
20170605,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,130.20824236920086,58.90109506261243,58.34221143266326
20170606,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,126.14760349535138,53.926448585616896,53.5975222825739
20170607,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,116.82705462505314,49.66787175949375,48.71893392947587
20170608,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,124.83189828317936,57.3175914444231,55.19558016195983
20170609,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,131.2939902544667,63.66907103061635,62.216555763196354
20170610,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,126.95099871340332,57.61740922507292,59.36100971642478
20170611,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,120.04645720173951,52.520506954026004,52.107165936042755
20170612,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,119.48757357179035,52.66896041823125,51.72875514493133
20170613,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,119.91546885097021,51.725844292692024,51.31541412694809
20170614,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,111.90771434060464,45.28121743484058,43.94804710923265
20170615,06d86ef037e4bd311b94467c3320ff38,85792b2278de59316d1158f6a97537ec,126.86367314622377,53.28023938848816,51.83354582554681
